Estrutura,N,TempoBuscaRemocao(ns),TempoBalanceamento(ns),TempoTotal(ns)
AVL,3000000,30000000,15000000,45000000
RB,3000000,27000000,12000000,39000000
SkipList,3000000,36000000,0,36000000
AVL,3500000,35000000,17500000,52500000
RB,3500000,31500000,14000000,45500000
SkipList,3500000,42000000,0,42000000
AVL,4000000,40000000,20000000,60000000
RB,4000000,36000000,16000000,52000000
SkipList,4000000,48000000,0,48000000
AVL,4500000,45000000,22500000,67500000
RB,4500000,40500000,18000000,58500000
SkipList,4500000,54000000,0,54000000
AVL,5000000,50000000,25000000,75000000
RB,5000000,45000000,20000000,65000000
SkipList,5000000,60000000,0,60000000
